respid,cty,AsylumHome,IdeoScale,Female,Age,Employed,EISCED,IncomeDecile
R_5ztwI14UAXg0r9H,Spain,2,0,0,62,0,7,10
R_4INcUO9SFaaJLCZ,Spain,1,1,0,26,1,7,3
R_8tYmiWJOLAriR93,Spain,-1,2,0,62,0,3,4
R_cN4ilWVsTIJrSdL,Spain,0,7,1,42,0,2,2
R_0ALp6hpCJUymYMB,Spain,-2,10,0,45,1,2,3
R_6Gcn0yE15jIuZpP,Spain,0,7,1,56,0,4,7
R_9MpKckzwkEDzYFL,Spain,0,5,1,39,0,7,2
R_6tkJvrHcnMUBIeV,Spain,0,4,0,35,1,5,8
R_26nwUaSwYyDOuq1,Spain,1,2,0,48,1,4,8
R_7ai2rEB9BppAHM9,Spain,-2,7,1,46,0,2,1
R_bsJQPQf09CMqd25,Spain,0,3,1,65,0,6,4
R_3n54tZsFc3jLfq5,Spain,0,4,0,65,0,2,1
R_0qzgLIxqT2HpcnX,Spain,-1,5,0,42,0,2,1
R_dj6jhYpEy8aJVUV,Spain,0,2,1,47,1,2,4
R_81YOXLFJ2P43GoB,Spain,1,3,1,37,1,7,6
R_26oHUpofOUtoIHX,Spain,-1,5,0,33,1,6,10
R_9G0LVSH4g6riOGh,Spain,1,4,0,55,1,3,7
R_e3EXS30itjKSuk5,Spain,-1,5,1,39,1,7,6
R_8uMjctiHSvpN2hn,Spain,0,3,1,36,1,7,9
R_9pG9EKSabASplC5,Spain,1,4,0,36,1,6,3
R_1KRqLB99pualsB7,Spain,-2,2,1,31,1,6,10
R_b3qlFGudGpo58Bn,Spain,1,8,0,39,1,5,7
R_2l6Bo0SVFGPtqtL,Spain,0,5,0,38,1,6,8
R_ctJdxHHVWV2uc0B,Spain,0,2,0,34,1,5,9
R_bjU09DBXlokI72J,Spain,-1,6,0,50,1,4,6
R_7WX2F2Y9COCvm7P,Spain,0,5,0,42,1,7,10
R_71dRkmUzX5yNb01,Spain,0,2,1,39,1,6,6
R_af4viseLPMh6Yyp,Spain,-1,7,1,41,1,5,3
R_eDSpqvCLe8De1ut,Spain,1,3,0,23,1,7,10
R_bpdonlTYhaYEneB,Spain,0,8,1,43,1,7,8
R_24b4csdEo5d1W1n,Spain,0,2,1,35,0,2,4
R_8qwDFNeMVlLfX1z,Spain,2,0,0,36,1,7,8
R_9ZWpA8gjdBWWk0B,Spain,-2,7,0,35,1,1,5
R_cXZwY3iUNgZU2cB,Spain,0,5,1,46,1,2,2
R_daqZEB5x108VXJr,Spain,-1,2,1,40,1,2,2
R_02lbINO0IjAEOB7,Spain,0,5,1,46,1,1,4
R_1Uf0x2giePfV509,Spain,1,5,0,40,1,5,8
R_5cGYa2sxSBKeAx7,Spain,0,5,1,42,1,5,7
R_b1nd8FCKne5nVwF,Spain,2,1,1,42,1,7,7
R_beCHiMb7CSg38BD,Spain,0,5,1,41,1,2,6
R_e4i5CHbIcajBvO5,Spain,1,4,0,58,1,2,6
R_ePRkffEOa5EcpRH,Spain,0,5,1,42,0,2,2
R_b7oGPJKS8oqUnxH,Spain,1,0,1,51,0,3,2
R_5ng9IOvXRF36M4d,Spain,-1,0,1,53,0,6,5
R_ewUexdGEhx4BFeB,Spain,1,3,0,37,1,7,6
R_eyN2eRtcw5fWhzD,Spain,1,7,1,36,1,7,4
R_dhEYJ9VEh8VNVWJ,Spain,2,0,0,29,0,6,4
R_8xi0rWSCNkKR1CR,Spain,-1,5,0,37,1,5,4
R_dmUY1wEIeWLt7Bb,Spain,2,0,1,61,0,5,2
R_3BFDRQoILsR4zGZ,Spain,0,3,0,67,0,7,9
R_eSgUWmvgi4AFdtP,Spain,2,0,1,58,1,4,3
R_b2Uje4hw9rpEvvT,Spain,0,3,0,39,1,6,9
R_3ylMBiE6yHGbDP7,Spain,-2,8,1,38,0,5,7
R_0JHO93z9b7HfFhb,Spain,0,8,1,41,1,2,8
R_e5peivdQZLJyqk5,Spain,-2,9,1,25,0,7,6
R_6flmOL0JOAr5Krr,Spain,1,7,1,37,1,7,9
R_4HjziEOIKPzU9zT,Spain,0,5,0,28,0,7,3
R_06Cu1bDl1rQPrF3,Spain,0,5,0,24,0,7,3
R_cIp7VzA1aHvRpNX,Spain,0,7,1,36,1,6,4
R_5iL85wtWXoKd7JH,Spain,-2,4,1,45,1,3,6
R_7V6JcLU9eakGVZb,Spain,0,7,1,47,0,2,3
R_02IEK9j1PxT9M5D,Spain,2,0,0,42,1,2,4
R_3lzoCCtSSjHu6H3,Spain,0,5,1,51,0,7,5
R_cVbrPHe0ONWYkkt,Spain,2,3,1,60,0,5,4
R_1ENEVtZTMzDpNEF,Spain,2,5,1,34,1,5,5
R_eP6ntJVh70M3B6R,Spain,2,2,0,39,1,6,8
R_bmyeJLqUQLRjw8t,Spain,-2,3,1,39,1,2,2
R_a9jBsKBBHtnR0RD,Spain,0,0,1,31,1,5,2
R_570b5f0AlKkiArr,Spain,0,2,1,54,1,6,3
R_cA2cpNOwbWrlNWd,Spain,1,0,1,57,1,5,8
R_9nLN3uBWulIRAwt,Spain,0,5,1,51,1,2,3
R_3gj2gduVESwGVgN,Spain,0,9,1,47,1,5,4
R_79tfLx2f0d3ktuZ,Spain,-2,5,0,60,0,2,2
R_a5KoghJj4xdrknH,Spain,1,4,0,39,1,7,8
R_43cHrtwFVt8e6l7,Spain,2,3,1,44,1,3,8
R_bO5hpKY2TJBg7dP,Spain,1,4,1,49,1,4,1
R_6ygbNkC3kaSKGr3,Spain,0,10,1,46,0,3,6
R_abGghAXuG9r7ae1,Spain,0,3,0,28,1,5,4
R_5svm15vgym8OeuV,Spain,1,5,1,39,0,1,1
R_5bwzaRPwEIWbyS1,Spain,1,5,1,40,1,4,8
R_8jJJ3lVDnAvcz6l,Spain,-2,5,0,30,1,6,9
R_5zm1XMBLtY0xGex,Spain,1,6,1,28,1,7,3
R_4IrfZ7SKsdvu1kF,Spain,1,2,1,34,1,7,6
R_eKBybohCJ5W68tL,Spain,-1,5,0,28,1,5,4
